movie,link,budget,gross_ww,runtime,rating,genre
American Hustle,/title/tt1800241/?ref_=sr_t_1,"['40,000,000']","['251,171,807']",2h 18m,7.2,"['Crime', 'Drama']"
After the Wedding,/title/tt0457655/?ref_=sr_t_1,,,,,
Memento,/title/tt0209144/?ref_=sr_t_1,"['9,000,000']","['40,047,078']",1h 53m,8.4,"['Mystery', 'Thriller']"
Gravity,/title/tt1454468/?ref_=sr_t_1,"['100,000,000']","['773,031,583']",1h 31m,7.7,"['Drama', 'Sci-Fi', 'Thriller']"
The Five Obstructions,/title/tt0354575/?ref_=sr_t_1,,,,,
Ida,/title/tt2718492/?ref_=sr_t_1,,,,,
Nobody Knows,/title/tt0408664/?ref_=sr_t_1,,,,,
Wild Tales,/title/tt3011894/?ref_=sr_t_1,"['3,300,000']","['31,478,893']",Damián Szifron,8.1,"['Comedy', 'Drama', 'Thriller']"
Eldorado,/title/tt27906298/?ref_=sr_t_1,,,,,
The Stuart Hall Project,/title/tt2578290/?ref_=sr_t_1,,,,,
Waiting for Happiness,/title/tt0308363/?ref_=sr_t_1,"['1,450,000']",[],Khatra Ould Abder Kader,6.6,"['Drama', 'Music']"
Something Necessary,/title/tt2400272/?ref_=sr_t_1,,,,,
Sembène!,/title/tt4344782/?ref_=sr_t_1,,,,,
5 Broken Cameras,/title/tt2125423/?ref_=sr_t_1,,,,,
Hooligan Sparrow,/title/tt4079902/?ref_=sr_t_1,,,,,
7 Letters,/title/tt4691166/?ref_=sr_t_1,"['3,100,000']",[],Junfeng Boo,6.9,['Drama']
Weekend,/title/tt0385057/?ref_=sr_t_1,,,,,
How to Survive a Plague,/title/tt2124803/?ref_=sr_t_1,,,,,
American Splendor,/title/tt0305206/?ref_=sr_t_1,,,,,
An Injury to One,/title/tt0342570/?ref_=sr_t_1,,,,,
Love & Basketball,/title/tt0199725/?ref_=sr_t_1,"['20,000,000']","['27,743,596']",Gina Prince-Bythewood,7.2,"['Drama', 'Romance', 'Sport']"
It's Such a Beautiful Day,/title/tt2396224/?ref_=sr_t_1,,,,,
Actress,/title/tt0291350/?ref_=sr_t_1,,,,,
